text,line,length,shot
"length ball pushed across off stump, left alone",Off Stump,Unknown,Leave
<B>beaten.</b> Short of a length ball cutting away from middle stump. Looks to defend that but it gets too big on him,Middle Stump,Short,Defend
"length at off stump, defended off the back foot",Off Stump,Unknown,Defend
<B>sliced</b> but safe. Length ball outside off. Not quite to the pitch of this for the drive and the bat turns. But it's wide of point,Outside Off,Unknown,Drive
"length ball pushed across off stump, left alone",Off Stump,Unknown,Leave
"length ball pushed wide outside off. Chases for the drive, beaten on the outside edge",Outside Off,Unknown,Drive
"length at middle stump, flicked to deep square off the back foot",Middle Stump,Unknown,Flick
"full outside off, driven on the bounce to extra cover",Outside Off,Full,Drive
"length ball wide outside off. Angles in, jags away. Left alone",Outside Off,Unknown,Leave
length and in at middle stump. Punched on the up to mid-on,Middle Stump,Unknown,Unknown
length ball keeps low at off stump. Watchfully defended down the pitch,Off Stump,Unknown,Defend
"short of a length at off stump, gets behind the line and drops it into the leg side off the back foot",Off Stump,Short,Unknown
"length at leg stump, shuffles and taps to midwicket",Leg Stump,Unknown,Unknown
"short ball slanted across the corridor, left alone",Unknown,Short,Leave
"length ball wide outside off, left alone",Outside Off,Unknown,Leave
"length at off stump, blocked on the front foot",Off Stump,Unknown,Defend
"length ball wide outside off, left alone",Outside Off,Unknown,Leave
length and just outside off. Blocked on the front foot,Outside Off,Unknown,Defend
"full at middle stump, flicked to deep midwicket's right and that is <b>fifty</b> for the partnership",Middle Stump,Full,Flick
shot. Overpitched just outside off. Gets the weight into this with a short stride and punches firmly past Amla at the other end,Outside Off,Short,Unknown
"short of a length just outside off, defended off the back foot",Outside Off,Short,Defend
"overpitched outside off, driven on the bounce to extra cover",Outside Off,Unknown,Drive
"<b>edge</b> but four. Squared up there. Length ball at off stump. Looks to defend on the back foot, slightly inside the line as it cuts away. It's between second slip and gully",Off Stump,Unknown,Cut
"short at off stump, defended off the back foot",Off Stump,Short,Defend
short of a length at off stump. Defended into the toe off the back foot,Off Stump,Short,Defend
short and just outside off. Dropped into the off side off the back foot,Outside Off,Short,Unknown
length ball curves down leg side. Looks to tickle it fine and it's into the fine leg boundary off the thigh guard,Down Leg,Unknown,Unknown
"<b>outside edge</b> wide of gully, and into the third man boundary. That's <B>fifty</b> for Amla. His team-mates are on their feet applauding. Important knock. This is a length ball just outside off. He jabs at it away from the body and the edge flies low to gully's left",Outside Off,Unknown,Unknown
"length and pushed across off stump, left alone",Off Stump,Unknown,Leave
"length and in at off stump, blocked on the front foot",Off Stump,Unknown,Defend
bouncer. Dug in too short and down leg side. Left alone,Down Leg,Short,Leave
length and in at middle stump. Pushed into the leg side with soft hands,Middle Stump,Unknown,Unknown
length ball just outside off. Shuffles and blocks on the front foot,Outside Off,Unknown,Defend
length and in at off stump. Defended off the back foot,Off Stump,Unknown,Defend
"bouncer down leg side, left alone",Down Leg,Short,Leave
short of a length just outside off. Shuffles and drops it pitch side on the leg side for the single,Outside Off,Short,Unknown
"full and just outside off, driven straight to mid-off",Outside Off,Full,Drive
shot. Watched that closely as he pulled. Short of a length ball outside off. Doesn't rise too much. Amla leaps off the floor and rolls the bat over this to get it between deep square and fine leg,Outside Off,Short,Pull
"length outside off, blocked on the front foot",Outside Off,Unknown,Defend
"full at off stump, jagging away late. Defends and gets it off the outside edge",Off Stump,Full,Defend
"full outside off, leans in and taps to sweeper's right",Outside Off,Full,Unknown
"shot! More than a tap this time. A full blooded drive, weight there, balance there, wrists there. Overpitched ball outside off, there. Sweeper picks it up a couple of yards to his right",Outside Off,Full,Drive
"length on middle stump, closes the face on it and taps it to mid-on's left",Middle Stump,Unknown,Unknown
length and just outside off. Blocked on the front foot,Outside Off,Unknown,Defend
full and shaping down leg. Looks to flick and it pings off the outside of his pad. Down to fine leg,Down Leg,Full,Flick
"length at leg stump, allows it to skid on and flicks to deeps square. Loud applause from the crowd because that shot brings him his <b>15th Test fifty</b>",Leg Stump,Unknown,Flick
"short of a length outside off, punched to sweeper's left",Outside Off,Short,Unknown
"<b>beauty.</b> Feet are moving well for QDK. Full ball outside off, gets a nice stride into it and places this beautifully to extra cover's left. High elbow",Outside Off,Full,Unknown
"length ball just outside off, blocked on the front foot",Outside Off,Unknown,Defend
"length ball wide outside off, left alone",Outside Off,Unknown,Leave
"full outside off, blocked on the front foot",Outside Off,Full,Defend
<b>past the edge.</b> Length ball jumps up outside off as he leans in to defend. That straightened after coming in,Outside Off,Unknown,Defend
"length outside off, defended into the off side. That was close to the pad as he played it",Outside Off,Unknown,Defend
length and in at off stump. Plays very late as he defends into the off side,Off Stump,Unknown,Defend
short ball fired down leg side. Left alone,Down Leg,Short,Leave
length and in at the stump. Blocked on the front foot,Unknown,Unknown,Defend
"length at middle stump, pushed into the midwicket region off the inside half",Middle Stump,Unknown,Unknown
"full at middle stump, shoveled to midwicket off the toe-end",Middle Stump,Full,Unknown
"length and in at the stumps, defended into the leg side",Down Leg,Unknown,Defend
short of a length ball slanted across off stump. Left alone as it climbs up,Off Stump,Short,Leave
good yorker. But he keeps it out. This is speared at middle stump and he digs it out to midwicket,Middle Stump,Yorker,Unknown
<b>lbw appeal</b> turned down. Pitching outside leg. Raps him bang in front of leg stump as he looks to flick. QDK clearly thinks he's missed out on runs there,Leg Stump,Unknown,Flick
"length at middle stump, jabs on the front foot and gets it to mid-on off the inside half",Off Stump,Unknown,Unknown
yorker just outside off. Brings the bat down and taps it into the leg side,Outside Off,Yorker,Unknown
"shot! Nice full face on that. Full ball outside off, leans in perfectly to get to the pitch and taps it between non-striker and stumps",Outside Off,Full,Unknown
"full outside off, driven straight to mid-off",Outside Off,Full,Drive
length and in at the stumps. Blocked on the front foot,Unknown,Unknown,Defend
length ball cuts back in from outside off. Left alone on the front foot. Narrowly past off stump,Outside Off,Unknown,Cut
"length and in at off stump, defended off the back foot",Off Stump,Unknown,Defend
"<b>oh wow.</b> Conditions don't matter to this guy, do they? It's been jagging back and away and rising from that good length outside off, but Amla trusts his hands to reach out and punch gloriously through the line to the cover boundary",Outside Off,Good Length,Unknown
"length ball wide outside off, left alone",Outside Off,Unknown,Leave
"<b>got him!</b> This one does rise, and Amla's resistance ends. Length ball, cutting away and rising at the same time. Amla looks to defend on the front foot and it gets him on the glove. Floats to Sarfraz's right and he takes an easy catch",Unknown,Unknown,Defend
"fuller and angling away outside off, de Kock lets it pass",Outside Off,Unknown,Unknown
De Kock closes the face and taps this length ball from outside off to mid-on,Outside Off,Unknown,Unknown
"banged in short and angling away outside off, he drags a pull to deep midwicket",Outside Off,Short,Pull
"hip-high short ball outside off, it does not bounce as much as de Kock expects it to. Pulled weakly through midwicket region",Outside Off,Short,Pull
"full and holds its line outside off, Philander runs it away to gully with soft hands",Outside Off,Full,Unknown
"pitched up and outside off, opens the face and plays to point now",Outside Off,Full,Unknown
"short and shoved down leg, helped to long leg",Down Leg,Short,Unknown
"on a length and on a fourth-stump line, defended off the front foot",Unknown,Good Length,Defend
"back of a length and outside off, Philander gets behind the line and blocks to cover",Outside Off,Short,Defend
"pitched further up and outside off, Philander leans into a pretty cover drive, which outruns the chasing fielder. Nicely done",Outside Off,Unknown,Drive
"bouncer on middle, Philander ducks under it",Middle Stump,Short,Unknown
"on a length and bounces outside off, Philander flashes... and misses",Outside Off,Good Length,Unknown
back of a length and snakes back in sharply to pin the batsman on the back thigh. But this is surely bouncing over the stumps,Unknown,Short,Unknown
"full and just a shade outside off, flicked out to short midwicket",Outside Off,Full,Flick
"short at the body, de Kock swivels on the back foot and hooks a single to fine leg. He was in total control of it despite the ball getting big on him",Unknown,Short,Hook
